user_id,phenotype
1,Blue
6,Brown
8,Brown
10,Brown
11,Brown
13,Brown
14,Brown
17,Green
22,Green
26,Blue
33,Brown
35,Brown
36,Brown
38,Blue
40,Blue
42,Brown
44,Brown
45,Blue
53,Blue
55,Blue
58,Blue
60,Brown
62,Brown
63,Blue
64,Blue
69,Brown
71,Brown
72,Brown
74,Blue
75,Brown
77,Brown
81,Blue
90,Brown
99,Blue
111,Green
118,Brown
123,Blue
124,Green
125,Brown
126,Brown
141,Brown
144,Brown
146,Brown
154,Brown
158,Brown
159,Blue
160,Blue
168,Brown
175,Brown
177,Blue
180,Brown
187,Brown
189,Brown
200,Blue
200,Blue
202,Blue
203,Brown
204,Blue
207,Blue
210,Blue
215,Blue
216,Blue
241,Green
251,Blue
252,Blue
253,Blue
258,Brown
262,Brown
266,Brown
268,Brown
276,Brown
279,Brown
280,Brown
285,Brown
287,Green
288,Green
294,Blue
295,Blue
296,Brown
298,Brown
305,Brown
311,Brown
319,Blue
322,Brown
323,Brown
325,Brown
328,Green
330,Blue
337,Green
339,Brown
341,Blue
345,Blue
347,Blue
349,Green
352,Blue
357,Brown
363,Blue
366,Brown
368,Blue
380,Brown
394,Green
397,Brown
411,Blue
411,Blue
420,Brown
429,Blue
430,Brown
437,Green
439,Blue
440,Brown
441,Blue
441,Blue
463,Blue
466,Brown
468,Brown
473,Blue
481,Brown
483,Brown
488,Brown
495,Green
497,Green
500,Blue
502,Blue
503,Blue
512,Blue
533,Blue
539,Brown
542,Blue
549,Brown
554,Brown
556,Brown
561,Brown
563,Brown
567,Green
572,Blue
574,Blue
579,Blue
580,Brown
581,Green
583,Blue
585,Blue
589,Brown
595,Brown
602,Blue
607,Blue
609,Blue
610,Brown
613,Brown
613,Green
636,Blue
637,Green
644,Brown
645,Blue
646,Blue
650,Brown
651,Blue
664,Brown
667,Blue
669,Blue
675,Brown
678,Brown
682,Blue
684,Blue
685,Brown
688,Brown
693,Brown
703,Green
704,Brown
717,Blue
721,Blue
722,Green
726,Brown
734,Blue
745,Brown
748,Brown
749,Blue
754,Brown
758,Blue
761,Brown
762,Brown
763,Brown
775,Blue
776,Blue
777,Brown
778,Blue
779,Blue
781,Brown
782,Green
792,Brown
795,Green
798,Brown
799,Brown
803,Brown
806,Blue
807,Brown
808,Blue
811,Blue
813,Brown
814,Brown
816,Green
820,Brown
822,Green
829,Blue
830,Brown
832,Brown
835,Brown
836,Blue
839,Blue
842,Blue
845,Brown
850,Blue
854,Brown
862,Brown
865,Green
881,Blue
887,Blue
891,Blue
898,Blue
903,Blue
909,Blue
911,Blue
912,Blue
915,Blue
916,Brown
918,Brown
920,Brown
922,Brown
924,Brown
925,Blue
926,Brown
