user_id,phenotype
1,Blue_Green
6,Brown
8,Brown
10,Brown
11,Brown
13,Brown
14,Brown
17,Blue_Green
22,Blue_Green
26,Blue_Green
33,Brown
35,Brown
36,Brown
38,Blue_Green
40,Blue_Green
42,Brown
44,Brown
45,Blue_Green
53,Blue_Green
55,Blue_Green
58,Blue_Green
60,Brown
62,Brown
63,Blue_Green
64,Blue_Green
69,Brown
71,Brown
72,Brown
74,Blue_Green
75,Brown
77,Brown
81,Blue_Green
90,Brown
99,Blue_Green
111,Blue_Green
118,Brown
123,Blue_Green
124,Blue_Green
125,Brown
126,Brown
141,Brown
144,Brown
146,Brown
154,Brown
158,Brown
159,Blue_Green
160,Blue_Green
168,Brown
175,Brown
177,Blue_Green
180,Brown
187,Brown
189,Brown
200,Blue_Green
202,Blue_Green
203,Brown
204,Blue_Green
207,Blue_Green
210,Blue_Green
215,Blue_Green
216,Blue_Green
241,Blue_Green
251,Blue_Green
252,Blue_Green
253,Blue_Green
258,Brown
262,Brown
266,Brown
268,Brown
276,Brown
279,Brown
280,Brown
285,Brown
287,Blue_Green
288,Blue_Green
294,Blue_Green
295,Blue_Green
296,Brown
298,Brown
305,Brown
311,Brown
319,Blue_Green
322,Brown
323,Brown
325,Brown
328,Blue_Green
330,Blue_Green
337,Blue_Green
339,Brown
341,Blue_Green
345,Blue_Green
347,Blue_Green
349,Blue_Green
352,Blue_Green
357,Brown
363,Blue_Green
366,Brown
368,Blue_Green
380,Brown
394,Blue_Green
397,Brown
411,Blue_Green
411,Blue_Green
420,Brown
429,Blue_Green
430,Brown
437,Blue_Green
439,Blue_Green
440,Brown
441,Blue_Green
441,Blue_Green
463,Blue_Green
466,Brown
468,Brown
473,Blue_Green
481,Brown
483,Brown
488,Brown
495,Blue_Green
497,Blue_Green
500,Blue_Green
502,Blue_Green
503,Blue_Green
512,Blue_Green
533,Blue_Green
539,Brown
542,Blue_Green
549,Brown
554,Brown
556,Brown
561,Brown
563,Brown
567,Blue_Green
572,Blue_Green
574,Blue_Green
579,Blue_Green
580,Brown
581,Blue_Green
583,Blue_Green
585,Blue_Green
589,Brown
595,Brown
602,Blue_Green
607,Blue_Green
609,Blue_Green
610,Brown
613,Brown
613,Blue_Green
636,Blue_Green
637,Blue_Green
644,Brown
645,Blue_Green
646,Blue_Green
650,Brown
651,Blue_Green
664,Brown
667,Blue_Green
669,Blue_Green
675,Brown
678,Brown
682,Blue_Green
684,Blue_Green
685,Brown
688,Brown
693,Brown
703,Blue_Green
704,Brown
717,Blue_Green
721,Blue_Green
722,Blue_Green
726,Brown
734,Blue_Green
745,Brown
748,Brown
749,Blue_Green
754,Brown
758,Blue_Green
761,Brown
762,Brown
763,Brown
775,Blue_Green
776,Blue_Green
777,Brown
778,Blue_Green
779,Blue_Green
781,Brown
782,Blue_Green
792,Brown
795,Blue_Green
798,Brown
799,Brown
803,Brown
806,Blue_Green
807,Brown
808,Blue_Green
811,Blue_Green
813,Brown
814,Brown
816,Blue_Green
820,Brown
822,Blue_Green
829,Blue_Green
830,Brown
832,Brown
835,Brown
836,Blue_Green
839,Blue_Green
842,Blue_Green
845,Brown
850,Blue_Green
854,Brown
862,Brown
865,Blue_Green
881,Blue_Green
887,Blue_Green
891,Blue_Green
898,Blue_Green
903,Blue_Green
